ID	$#VersionBegin	$#VersionEnd
100110		
100111		
100112		
100171		
100172		
100173		
100178		
100179		
100180		
100181		
100182		
100183		
100184		
100185		
100188		
100189		
100190		
100191		
100192		
100193		
100194		
100195		
100196		
100197		
100198		
100199		
100200		
100201		
100202		
100203		
100204		
100205		
100206		
100207		
100208		
100213		
100214		
100215	0.2	
100216	0.2	
100217	0.2	
100218	0.2	
100219	0.2	
100220	0.2	
100221		
100222		0.1
100223		0.1
100224	0.2	
100226	0.2	
100227	0.2	
100228	0.2	
100229		
100230		
100239		
100240		
100241		
100242	0.2	
100348		
100350	0.2	
100352	0.2	
100354	0.2	
100357		
100358		
100359		
100360		
100236	0.2	
100361	0.2	
100364	0.2	
100366		
100367		
100368		
100369		
100387		
100388		
100389		
100390		
100391		
100392		
100393		
100394		
100399	0.2	
100400	0.2	
100401	0.2	
100402	0.2	
100403	0.2	
100404	0.2	
100405	0.2	
100406	0.2	
100407	0.2	
100408	0.2	
100409	0.2	
100410	0.2	
100411	0.2	
100412	0.2	
100413	0.2	
100414		
100415		
100416		
100417		
100418		
100419		
100426	0.2	
100427		
100431	0.2	
100432	0.2	
100433	0.2	
100434	0.2	
100435	0.2	
100436	0.2	
100437	0.2	
100438	0.2	
100439	0.2	
100440	0.2	
100441	0.2	
100442	0.2	
100443	0.2	
100444	0.2	
100445	0.2	
180041		
180042		
180043		
180044		
180045		
180051		
180052		
180053		
180054		
180055		
180061		
180062		
180063		
180064		
180065		
180071		
180072		
180073		
180074		
180075		
180081		
180082		
180083		
180084		
180085		
180091		
180092		
180093		
180094		
180095		
180101		
180102		
180103		
180104		
180105		
180111		
180112		
180113		
180114		
180115		
180121		
180122		
180123		
180124		
180125		
180131		
180132		
180133		
180134		
180135		
184011		
184012		
184013		
184014		
184015		
184021		
184022		
184023		
184024		
184025		
184031		
184032		
184033		
184034		
184035		
184041		
184042		
184043		
184044		
184045		
185011		
185012		
185013		
185014		
185015		
185021		
185022		
185023		
185024		
185025		
185031		
185032		
185033		
185034		
185035		
185041		
185042		
185043		
185044		
185045		
185051		
185052		
185053		
185054		
185055		
185061		
185062		
185063		
185064		
185065		
185071		
185072		
185073		
185074		
185075		
185081		
185082		
185083		
185084		
185085		
191301		
191302		
191303		
191304		
191305		
191306		
191401		
191402		
191403		
191404		
191405		
191406		
191407		
191408		
191501		
191502		
191503		
191504		
191505		
191506		
191507		
192301		
192302		
192303		
192304		
192305		
192306		
192401		
192402		
192403		
192404		
192405		
192406		
192407		
192408		
192501		
192502		
192503		
192504		
192505		
192506		
193301		
193302		
193303		
193401		
193402		
193403		
193404		
193504		
193505		
193506		
194301		
194302		
194303		
194304		
194305		
194306		
194401		
194402		
194403		
194404		
194405		
194406		
194407		
194408		
194501		
194502		
194503		
194504		
194505		
194506		
195301		
195302		
195303		
195304		
195305		
195306		
195401		
195402		
195403		
195404		
195405		
195406		
195407		
195408		
195501		
195502		
195503		
195504		
195505		
195506		
