台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID	$#VersionBegin	$#VersionEnd
221000101	221000102		1	2202		
221000102	221000103	1	2			
221000103	221000104		1	2202		
221000104	221000105		1	2202		
221000105	221000106		1	2202		
221000106	221000107		1	2202		
221000107	221000108		1	2202		
221000108	221000109,221000110		1	2202		
221000109	221000111		2			
221000110	221000112		2			
221000111	221000114		1	2202		
221000112	221000113		1	2202		
221000113	221000114		1	2202		
221000114	221000115		1	2202		
221000115	221000116		1	2202		
221000116			1	2202		
221000201	221000202		1	2202		
221000202	221000203	1	2			
221000203	221000204		1	2202		
221000204	221000205		1	2202		
221000205			1	2202		
221000301	221000302		1	2202		
221000302	221000303	1	2			
221000303	221000304		1	2202		
221000304	221000305		1	2202		
221000305	221000306		1	2202		
221000306			1	2202		
221010101	221010102		1	2202		
221010102	221010103	1	2			
221010103	221010104		1	2202		
221010104	221010105		1	2202		
221010105	221010106		1	2202		
221010106	221010107,221010108		1	2202		
221010107	221010109		2			
221010108	221010110		2			
221010109	221010113		1	2202		
221010110	221010111		1	2202		
221010111	221010112		1	2202		
221010112	221010113		1	2202		
221010113	221010114		1	2202		
221010114	221010115		1	2202		
221010115			1	2202		
221010201	221010202		1	2202		
221010202	221010203	1	2			
221010203	221010204		1	2202		
221010204	221010205		1	2202		
221010205			1	2202		
221010301	221010302		1	2202		
221010302	221010303	1	2			
221010303	221010304		1	2202		
221010304	221010305		1	2202		
221010305			1	2202		
221020101	221020102		1	2202		
221020102	221020103	1	2			
221020103	221020104		1	2202		
221020104	221020105		1	2202		
221020105	221020106		1	2202		
221020106	221020107,221020108		1	2202		
221020107	221020109		2			
221020108	221020110		2			
221020109			1	2202		
221020110	221020111		1	2202		
221020111	221020112		1	2202		
221020112			1	2202		
221020201	221020202		1	2202		
221020202	221020203	1	2			
221020203	221020204		1	2202		
221020204			1	2202		
221020301	221020302		1	2202		
221020302	221020303	1	2			
221020303	221020304		1	2202		
221020304			1	2202		
221030101	221030102		1	2208		
221030102	221030103	1	2			
