对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	[触发条件]3参数3	优先级	后续对话ID	初始台词ID	演员NpcID	专属父任务ID
2230001	2			1	2230001	2										5		223000101	2014	22300
2230002	2		1	1	2230001	3		1	2230002	2		19	2230002			5		223000201	2014	22300
2230010	2		1	1	2230010	2										5		223001001	2014	22300
2230011	2		1	1	2230011	2										5		223001101	2014	22300
2230012	2		1	1	2230012	2										5		223001201	2014	22300
2230013	2		1	1	2230013	2										5		223001301	2014	22300
2230003	2		1	1	2230004	2		24	1	0	22300					5		223000301	2014	22300
2230080	2		1	1	2230004	2		25	1	0	22300					5		223008001	2014	22300
2230101	2			1	2230101	2										5		223010101	201001	22301
2230108	2			1	2230102	2										5		223010801	201001	22301
2230102	2		1	1	2230103	2		19	2230103							5		223010201	201001	22301
2230107																5		223010701	201001	22301
2230104	2		1	1	2230108	2		1	2230105	3						5	2230109	223010401	201001	22301
2230105	2		1	1	2230108	2		1	2230106	3						5	2230109	223010501	201001	22301
2230106	2		1	1	2230108	2		1	2230107	3						5	2230109	223010601	201001	22301
2230109																5		223010901	201001	22301
2230111	2		4	1	2230102	2		24	2	111	22301	24	3	111	22301	5	2230120	223011101	201101	22301
2230112	2		4	1	2230102	2		24	2	112	22301	24	3	112	22301	5	2230120	223011201	201101	22301
2230113	2		4	1	2230102	2		24	2	113	22301	24	3	113	22301	5	2230120	223011301	201101	22301
2230114	2		4	1	2230102	2		24	2	221	22301	24	3	221	22301	5	2230121	223011401	162601	22301
2230115	2		4	1	2230102	2		24	2	222	22301	24	3	222	22301	5	2230121	223011501	162601	22301
2230116	2		4	1	2230102	2		24	2	223	22301	24	3	223	22301	5	2230121	223011601	162601	22301
2230117	2		4	1	2230102	2		24	2	321	22301	24	3	321	22301	5	2230122	223011701	2026	22301
2230118	2		4	1	2230102	2		24	2	322	22301	24	3	322	22301	5	2230122	223011801	2026	22301
2230119	2		4	1	2230102	2		24	2	323	22301	24	3	323	22301	5	2230122	223011901	2026	22301
2230120																5		223012001	201101	22301
2230121																5		223012101	162601	22301
2230122																5		223012201	202601	22301
2230151	2		1	1	2230104	2		24	0	223010304	22301					5	2230107	223015101	201001	22301
2230152	2		1	1	2230104	2		24	0	223010305	22301					5	2230107	223015201	201001	22301
2230153	2		1	1	2230104	2		24	0	223010306	22301					5	2230107	223015301	201001	22301
2230154	2		1	1	2230104	2		24	0	223010301	22301					5	2230107	223015401	201001	22301
2230155	2		1	1	2230104	2		24	0	223010302	22301					5	2230107	223015501	201001	22301
2230156	2		1	1	2230104	2		24	0	223010303	22301					5	2230107	223015601	201001	22301
2230199																5		223019901	202601	22301
2230201	2			1	2230201	2										5		223020101	1624	22302
2230202	2			1	2230204	2		1	2230202	3						5	2230205,2230206	223020201	1005	22302
2230203	2		4	1	2230203	2		3	100386	1		3	100387	1		5		223020301	1627	22302
2230204	2		1	1	2230201	3		28	25700							5		223020401	1624	22302
2230205																5		223020501	1005	22302
2230206																5		223020601	1005	22302
2230301	2			1	2230301	2										5		223030101	2040	22303
2230302	2		1	1	2230302	2		19	2230302							5		223030201	2040	22303
2230303	2			1	2230303	2										5		223030301	2040	22303
2230401	2			1	2230401	2										5		223040101	2033	22304
2230402	2		1	1	2230402	2		2	2230404	3						5	2230408	223040201	2013	22304
2230408																5	2230403,2230404	223040801	2013	22304
2230403				3	202	100										5		223040301	2013	22304
